Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,highway MPG,city mpg,MSRP,Age
2,114.0,4.0,2,1,4.0,2,26,19,2000,24
2,114.0,4.0,2,1,4.0,2,25,18,2000,24
2,100.0,4.0,2,3,4.0,1,35,29,16020,5
2,100.0,4.0,2,3,4.0,1,35,29,14530,5
2,100.0,4.0,1,3,4.0,1,34,28,16860,5
2,100.0,4.0,1,3,4.0,1,34,28,15370,5
2,100.0,4.0,1,3,4.0,1,34,28,17050,4
2,100.0,4.0,1,3,4.0,1,34,28,15560,4
2,100.0,4.0,2,3,4.0,1,35,29,16210,4
2,100.0,4.0,2,3,4.0,1,35,29,14720,4
2,100.0,4.0,1,3,4.0,1,34,28,17050,3
2,100.0,4.0,1,3,4.0,1,34,28,15560,3
2,100.0,4.0,2,3,4.0,1,35,29,16210,3
2,100.0,4.0,2,3,4.0,1,35,29,14720,3
1,300.0,6.0,1,2,4.0,2,30,20,47250,2
1,240.0,4.0,1,2,4.0,2,34,22,43000,1
1,300.0,6.0,1,2,4.0,2,30,20,49200,1
1,320.0,6.0,1,2,4.0,2,30,20,49650,0
1,248.0,4.0,1,2,4.0,2,33,23,43950,0
1,241.0,4.0,1,2,4.0,2,33,22,41950,2
1,335.0,6.0,1,1,4.0,2,33,25,50150,2
1,300.0,6.0,1,1,4.0,2,32,21,43750,2
5,180.0,4.0,1,1,4.0,2,45,32,39000,2
1,180.0,4.0,1,2,4.0,2,35,23,34950,2
1,300.0,6.0,1,2,4.0,2,30,20,45750,2
5,180.0,4.0,1,2,4.0,2,43,31,43450,2
5,180.0,4.0,1,2,4.0,2,43,31,41000,2
1,180.0,4.0,1,1,4.0,2,36,24,32950,2
5,180.0,4.0,1,2,4.0,2,40,30,41850,1
1,320.0,6.0,1,2,4.0,2,33,22,47800,1
5,180.0,4.0,1,1,4.0,2,42,32,39850,1
1,240.0,4.0,1,1,4.0,2,34,22,38350,1
1,240.0,4.0,1,2,4.0,2,34,22,40350,1
1,240.0,4.0,2,1,4.0,2,34,22,38350,1
1,240.0,4.0,1,2,4.0,2,34,22,42650,1
1,180.0,4.0,1,1,4.0,2,36,24,33150,1
1,180.0,4.0,1,2,4.0,2,35,23,35150,1
5,180.0,4.0,1,2,4.0,2,40,30,44150,1
1,320.0,6.0,1,1,4.0,2,33,22,45800,1
3,248.0,4.0,1,1,4.0,2,34,23,38750,0
3,180.0,4.0,1,2,4.0,2,34,23,35450,0
3,180.0,4.0,1,1,4.0,2,35,23,33450,0
3,248.0,4.0,1,2,4.0,2,33,23,40750,0
5,180.0,4.0,1,2,4.0,2,40,30,42250,0
3,248.0,4.0,1,2,4.0,2,33,23,42950,0
5,180.0,4.0,1,1,4.0,2,42,32,40250,0
3,320.0,6.0,1,2,4.0,2,31,21,49900,0
3,320.0,6.0,1,1,4.0,2,32,21,47900,0
5,180.0,4.0,1,2,4.0,2,40,30,44450,0
2,177.0,6.0,1,1,4.0,3,19,15,2232,26
2,177.0,6.0,1,1,4.0,2,20,15,2000,26
2,158.0,6.0,1,1,4.0,2,22,17,2000,26
2,177.0,6.0,1,2,4.0,2,20,15,2105,26
2,177.0,6.0,1,2,4.0,2,18,15,2199,26
2,177.0,6.0,1,1,4.0,2,22,16,2000,26
2,177.0,6.0,1,1,4.0,3,19,15,2124,26
2,228.0,6.0,2,1,2.0,1,21,14,3552,26
2,217.0,6.0,1,1,2.0,2,22,15,2179,26
5,121.0,5.0,1,1,4.0,2,30,23,2000,26
5,121.0,5.0,1,1,4.0,2,29,23,2000,25
2,228.0,6.0,1,1,4.0,3,17,14,2377,25
2,228.0,6.0,2,1,2.0,1,21,15,3814,25
2,177.0,6.0,1,2,4.0,2,19,15,2207,25
2,177.0,6.0,1,1,4.0,2,20,15,2000,25
2,217.0,6.0,1,1,2.0,2,21,15,2248,25
2,177.0,6.0,1,1,4.0,2,22,16,2065,25
5,148.0,6.0,1,1,4.0,3,22,18,2547,25
2,177.0,6.0,1,2,4.0,2,18,15,2282,25
2,158.0,6.0,1,1,4.0,2,23,18,2000,25
2,177.0,6.0,1,2,4.0,2,19,15,2544,24
2,217.0,6.0,1,1,2.0,2,22,17,2397,24
5,121.0,5.0,1,1,4.0,2,30,23,2000,24
2,228.0,6.0,2,1,2.0,1,21,14,4174,24
2,217.0,6.0,1,1,4.0,2,22,17,2187,24
5,148.0,6.0,1,1,4.0,3,22,18,2729,24
2,177.0,6.0,1,2,4.0,2,19,15,2433,24
2,194.0,6.0,1,1,4.0,2,23,17,2247,24
2,228.0,6.0,1,1,4.0,3,18,14,2540,24
2,218.0,6.0,2,3,2.0,1,23,17,3941,20
2,161.0,6.0,2,3,2.0,1,22,17,3295,20
2,320.0,6.0,2,2,2.0,1,22,16,6008,20
2,320.0,6.0,2,2,2.0,1,22,16,6710,19
2,161.0,6.0,2,3,2.0,1,22,17,3701,19
2,218.0,6.0,2,3,2.0,1,23,17,4671,19
2,218.0,6.0,2,3,2.0,1,23,17,5306,18
2,320.0,6.0,2,2,2.0,1,22,16,7600,18
2,161.0,6.0,2,3,2.0,1,22,17,4090,18
2,300.0,6.0,1,2,4.0,3,27,18,37570,2
2,292.0,6.0,1,1,4.0,3,31,19,31695,2
2,292.0,6.0,1,1,4.0,3,31,19,38070,2
2,292.0,6.0,1,2,4.0,3,27,18,44895,2
2,300.0,6.0,1,1,4.0,3,31,19,35070,2
2,292.0,6.0,1,1,4.0,3,31,19,42395,2
2,292.0,6.0,1,2,4.0,3,27,18,34195,2
2,292.0,6.0,1,2,4.0,3,27,18,40570,2
2,300.0,6.0,1,2,4.0,3,27,18,38095,1
2,300.0,6.0,1,1,4.0,3,31,19,35595,1
2,292.0,6.0,1,2,4.0,3,27,18,45190,1
2,292.0,6.0,1,1,4.0,3,31,19,32260,1
2,292.0,6.0,1,2,4.0,3,27,18,37755,1
2,292.0,6.0,1,2,4.0,3,27,18,41055,1
2,300.0,6.0,1,1,4.0,3,31,19,36090,1
2,292.0,6.0,1,1,4.0,3,31,19,42690,1
2,292.0,6.0,1,1,4.0,3,31,19,38555,1
2,292.0,6.0,1,1,4.0,3,31,19,35255,1
2,300.0,6.0,1,2,4.0,3,27,18,38590,1
2,292.0,6.0,1,2,4.0,3,27,18,34760,1
2,292.0,6.0,1,2,4.0,3,27,18,41135,0
2,292.0,6.0,1,2,4.0,3,27,18,45270,0
2,300.0,6.0,1,2,4.0,3,27,18,38670,0
2,292.0,6.0,1,1,4.0,3,30,19,38635,0
2,300.0,6.0,1,1,4.0,3,30,19,36170,0
2,300.0,6.0,1,2,4.0,3,27,18,38175,0
2,292.0,6.0,1,1,4.0,3,30,19,32340,0
2,292.0,6.0,1,1,4.0,3,30,19,42770,0
2,292.0,6.0,1,2,4.0,3,27,18,34840,0
2,300.0,6.0,1,1,4.0,3,30,19,35675,0
1,250.0,6.0,1,3,4.0,3,24,16,32065,15
1,250.0,6.0,1,3,4.0,3,24,16,28540,15
1,255.0,6.0,1,3,4.0,3,25,16,32315,14
2,250.0,6.0,1,3,4.0,3,25,16,28885,14
2,250.0,6.0,1,3,4.0,3,25,16,29185,13
1,255.0,6.0,1,3,4.0,3,25,16,32615,13
2,222.0,6.0,2,1,2.0,1,22,16,2847,23
2,222.0,6.0,2,1,2.0,1,22,16,2488,23
2,300.0,6.0,2,1,2.0,1,22,16,2683,23
2,222.0,6.0,2,1,2.0,1,22,16,2553,23
2,300.0,6.0,2,1,2.0,1,22,16,3049,22
2,222.0,6.0,2,1,2.0,1,22,17,2774,22
2,222.0,6.0,2,1,2.0,1,22,17,2702,22
2,222.0,6.0,2,1,2.0,1,22,17,3101,22
2,300.0,6.0,2,1,2.0,1,22,16,3510,21
2,222.0,6.0,2,1,2.0,1,22,17,3107,21
2,222.0,6.0,2,1,2.0,1,22,17,3624,21
2,222.0,6.0,2,1,2.0,1,22,17,3185,21
2,82.0,4.0,2,3,2.0,1,33,25,2000,24
2,82.0,4.0,2,3,2.0,1,32,24,2000,24
2,82.0,4.0,2,3,2.0,1,33,25,2000,23
5,134.0,6.0,1,1,4.0,3,23,19,2144,27
5,134.0,6.0,1,1,4.0,3,23,19,2098,27
5,134.0,6.0,1,1,4.0,3,23,19,2178,26
5,134.0,6.0,1,1,4.0,3,23,19,2311,26
2,306.0,6.0,1,1,2.0,1,23,17,36550,10
2,306.0,6.0,1,1,2.0,1,23,17,41250,10
2,306.0,6.0,1,1,2.0,1,24,17,30600,10
2,306.0,6.0,1,1,2.0,1,24,17,37100,10
2,306.0,6.0,2,1,2.0,1,25,18,27900,10
2,306.0,6.0,2,1,2.0,1,25,18,32700,10
2,306.0,6.0,2,1,2.0,1,24,17,40250,10
2,306.0,6.0,2,1,2.0,1,24,17,35550,10
2,306.0,6.0,2,1,2.0,1,25,18,36100,10
2,306.0,6.0,1,1,2.0,1,24,17,33200,10
2,306.0,6.0,2,1,2.0,1,24,17,37900,10
2,306.0,6.0,2,1,2.0,1,25,18,29600,10
2,306.0,6.0,2,1,2.0,1,25,18,38070,10
2,306.0,6.0,1,1,2.0,1,23,17,38900,10
2,306.0,6.0,1,1,2.0,1,24,17,33840,9
2,306.0,6.0,2,1,2.0,1,24,17,38630,9
2,306.0,6.0,1,1,2.0,1,23,17,39630,9
2,306.0,6.0,1,1,2.0,1,24,17,37740,9
2,306.0,6.0,1,1,2.0,1,23,17,41980,9
2,306.0,6.0,2,1,2.0,1,24,17,36280,9
2,306.0,6.0,2,1,2.0,1,25,18,36740,9
2,306.0,6.0,2,1,2.0,1,24,17,40980,9
2,306.0,6.0,2,1,2.0,1,25,18,38680,9
2,306.0,6.0,2,1,2.0,1,25,18,28510,9
2,306.0,6.0,2,1,2.0,1,25,18,30210,9
2,306.0,6.0,1,1,2.0,1,24,17,31210,9
2,306.0,6.0,2,1,2.0,1,25,18,33340,9
2,306.0,6.0,1,1,2.0,1,23,17,37280,9
2,306.0,6.0,2,1,2.0,1,24,17,41570,8
2,306.0,6.0,2,1,2.0,1,24,17,36870,8
2,306.0,6.0,1,1,2.0,1,23,17,42570,8
2,306.0,6.0,1,1,2.0,1,23,17,37870,8
2,306.0,6.0,2,1,2.0,1,24,17,39220,8
2,306.0,6.0,1,1,2.0,1,23,17,40220,8
1,400.0,8.0,2,1,2.0,1,15,10,160829,15
1,400.0,8.0,2,1,2.0,1,15,10,140615,15
1,400.0,8.0,3,1,2.0,1,15,10,150694,15
1,400.0,8.0,3,1,2.0,1,15,10,170829,15
1,400.0,8.0,2,1,2.0,1,15,10,165986,14
1,400.0,8.0,3,1,2.0,1,15,10,154090,14
1,400.0,8.0,2,1,2.0,1,15,10,143860,14
1,400.0,8.0,3,1,2.0,1,15,10,176287,14
1,400.0,8.0,3,1,2.0,1,15,10,157767,13
1,425.0,8.0,3,1,2.0,1,15,10,187124,13
1,400.0,8.0,2,1,2.0,1,15,10,147332,13
1,400.0,8.0,2,1,2.0,1,15,10,169900,13
1,400.0,8.0,3,1,2.0,1,15,10,180408,13
1,350.0,6.0,1,1,2.0,1,26,19,46790,2
1,332.0,6.0,2,1,2.0,1,24,17,48100,2
1,332.0,6.0,2,1,2.0,1,26,18,29990,2
1,332.0,6.0,1,1,2.0,1,25,18,41820,2
1,332.0,6.0,1,1,2.0,1,26,19,31290,2
1,332.0,6.0,1,1,2.0,1,26,19,34870,2
1,332.0,6.0,2,1,2.0,1,26,18,33570,2
1,332.0,6.0,1,1,2.0,1,25,18,46570,2
1,332.0,6.0,2,1,2.0,1,26,18,37970,2
1,332.0,6.0,2,1,2.0,1,26,18,37070,2
1,332.0,6.0,1,1,2.0,1,25,18,49400,2
1,332.0,6.0,2,1,2.0,1,24,17,45270,2
1,332.0,6.0,1,1,2.0,1,26,19,39270,2
1,350.0,6.0,2,1,2.0,1,26,18,45490,2
1,350.0,6.0,2,1,2.0,1,26,18,41990,2
1,332.0,6.0,1,1,2.0,1,26,19,38370,2
1,350.0,6.0,1,1,2.0,1,26,19,43290,2
1,332.0,6.0,1,1,2.0,1,25,18,41820,1
1,332.0,6.0,2,1,2.0,1,24,17,48100,1
1,350.0,6.0,1,1,2.0,1,26,19,43290,1
1,332.0,6.0,1,1,2.0,1,26,19,39270,1
1,332.0,6.0,1,1,2.0,1,26,19,34870,1
1,350.0,6.0,2,1,2.0,1,26,18,41990,1
1,332.0,6.0,1,1,2.0,1,26,19,38370,1
1,332.0,6.0,2,1,2.0,1,24,17,45270,1
1,350.0,6.0,2,1,2.0,1,26,18,45490,1
1,332.0,6.0,2,1,2.0,1,26,18,29990,1
1,332.0,6.0,1,1,2.0,1,25,18,46570,1
1,350.0,6.0,1,1,2.0,1,26,19,46790,1
1,332.0,6.0,1,1,2.0,1,25,18,49400,1
1,332.0,6.0,2,1,2.0,1,26,18,37070,1
1,332.0,6.0,1,1,2.0,1,26,19,31290,1
1,332.0,6.0,2,1,2.0,1,26,18,37970,1
1,332.0,6.0,2,1,2.0,1,26,18,33570,1
1,332.0,6.0,2,1,2.0,1,26,18,37970,0
1,332.0,6.0,1,1,2.0,1,26,19,38370,0
1,332.0,6.0,1,1,2.0,1,26,19,34870,0
1,332.0,6.0,2,1,2.0,1,26,18,29990,0
1,350.0,6.0,2,1,2.0,1,26,18,45490,0
1,350.0,6.0,2,1,2.0,1,26,18,41990,0
1,332.0,6.0,2,1,2.0,1,24,17,45270,0
1,332.0,6.0,2,1,2.0,1,26,18,33570,0
1,332.0,6.0,2,1,2.0,1,24,17,48100,0
1,332.0,6.0,1,1,2.0,1,26,19,39270,0
1,332.0,6.0,1,1,2.0,1,25,18,46570,0
1,332.0,6.0,1,1,2.0,1,25,18,49400,0
1,332.0,6.0,2,1,2.0,1,26,18,37070,0
1,332.0,6.0,1,1,2.0,1,25,18,41820,0
1,350.0,6.0,1,1,2.0,1,26,19,46790,0
1,350.0,6.0,1,1,2.0,1,26,19,43290,0
1,332.0,6.0,1,1,2.0,1,26,19,31290,0
2,184.0,4.0,2,3,4.0,1,37,25,25045,2
2,184.0,4.0,1,3,4.0,1,39,28,26095,2
2,155.0,4.0,1,3,4.0,1,41,30,23795,2
2,155.0,4.0,2,3,4.0,1,41,29,19595,2
2,155.0,4.0,2,3,4.0,1,41,29,18445,2
2,184.0,4.0,2,3,4.0,1,37,25,23845,2
2,184.0,4.0,1,3,4.0,1,37,27,25395,2
2,184.0,4.0,1,3,4.0,1,39,28,24895,2
2,184.0,4.0,2,3,4.0,1,35,26,25545,2
2,155.0,4.0,1,3,4.0,1,40,30,24295,2
2,155.0,4.0,1,3,4.0,1,41,30,19495,2
2,155.0,4.0,2,3,4.0,1,40,29,20095,2
2,155.0,4.0,1,3,4.0,1,40,30,19995,2
2,155.0,4.0,1,3,4.0,1,40,30,21145,2
2,155.0,4.0,2,3,4.0,1,40,29,23245,2
2,155.0,4.0,2,3,4.0,1,41,29,16945,2
2,184.0,4.0,2,3,4.0,1,35,26,24345,2
2,155.0,4.0,1,3,4.0,1,41,30,20645,2
2,155.0,4.0,2,3,4.0,1,40,29,18945,2
2,184.0,4.0,1,3,4.0,1,37,27,26595,2
2,155.0,4.0,2,3,4.0,1,41,29,22745,2
2,155.0,4.0,1,3,4.0,1,41,30,17995,2
2,155.0,4.0,2,3,4.0,1,41,29,22545,1
2,155.0,4.0,1,3,4.0,1,41,30,21095,1
2,184.0,4.0,1,3,4.0,1,37,27,25495,1
2,155.0,4.0,2,3,4.0,1,40,29,20745,1
2,155.0,4.0,1,3,4.0,1,40,30,24295,1
2,155.0,4.0,1,3,4.0,1,41,30,23595,1
2,155.0,4.0,1,3,4.0,1,40,30,21795,1
2,155.0,4.0,2,3,4.0,1,41,29,17845,1
2,184.0,4.0,1,3,4.0,1,37,27,26495,1
2,184.0,4.0,2,3,4.0,1,37,25,24745,1
2,155.0,4.0,1,3,4.0,1,41,30,18895,1
2,155.0,4.0,1,3,4.0,1,40,30,19595,1
2,155.0,4.0,2,3,4.0,1,40,29,23245,1
2,155.0,4.0,2,3,4.0,1,40,29,18545,1
2,184.0,4.0,1,3,4.0,1,39,28,25795,1
2,155.0,4.0,2,3,4.0,1,41,29,20045,1
2,184.0,4.0,2,3,4.0,1,35,26,25445,1
2,184.0,4.0,1,3,4.0,1,39,28,24795,1
2,155.0,4.0,1,3,4.0,2,37,28,21495,0
2,155.0,4.0,2,3,4.0,2,37,27,17845,0
2,184.0,4.0,2,3,4.0,2,34,25,23145,0
2,184.0,4.0,1,3,4.0,2,36,27,24195,0
2,155.0,4.0,1,3,4.0,1,37,28,20145,0
2,184.0,4.0,1,3,4.0,1,35,26,24945,0
2,184.0,4.0,2,3,4.0,1,33,25,23895,0
2,155.0,4.0,2,3,4.0,1,37,27,19095,0
2,184.0,4.0,1,3,4.0,1,35,26,23445,0
2,155.0,4.0,1,3,4.0,2,37,28,18895,0
2,155.0,4.0,1,3,4.0,1,37,28,22245,0
2,184.0,4.0,2,3,4.0,1,33,25,22395,0
2,155.0,4.0,2,3,4.0,2,37,27,20445,0
1,300.0,6.0,1,1,4.0,2,32,21,45800,2
1,300.0,6.0,1,2,4.0,2,31,20,47800,2
1,240.0,4.0,1,2,4.0,2,34,22,43650,1
1,300.0,6.0,1,2,4.0,2,30,20,49950,1
1,300.0,6.0,1,1,4.0,2,31,20,47950,1
1,240.0,4.0,1,1,4.0,2,34,23,41650,1
3,320.0,6.0,1,1,4.0,2,32,21,48300,0
3,320.0,6.0,1,2,4.0,2,31,21,50300,0
3,248.0,4.0,1,2,4.0,2,33,23,43950,0
3,248.0,4.0,1,1,4.0,2,34,23,41950,0
1,300.0,6.0,1,2,2.0,2,29,20,56900,2
1,300.0,6.0,1,1,2.0,2,32,21,46250,2
1,300.0,6.0,1,2,2.0,2,30,20,48250,2
1,300.0,6.0,1,1,2.0,2,31,20,54900,2
1,240.0,4.0,1,2,2.0,2,33,21,52000,1
1,240.0,4.0,1,1,2.0,2,34,23,50000,1
1,240.0,4.0,2,1,2.0,2,34,22,41850,1
1,300.0,6.0,1,2,2.0,2,30,20,50150,1
1,240.0,4.0,1,1,2.0,2,35,23,41850,1
1,300.0,6.0,1,2,2.0,2,29,20,58950,1
1,240.0,4.0,1,2,2.0,2,34,22,43850,1
1,300.0,6.0,1,1,2.0,2,31,20,48150,1
1,300.0,6.0,1,1,2.0,2,31,20,56950,1
3,248.0,4.0,1,1,2.0,2,34,23,50300,0
3,248.0,4.0,1,2,2.0,2,32,22,52300,0
3,320.0,6.0,1,2,2.0,2,31,21,50500,0
3,248.0,4.0,1,2,2.0,2,33,23,44150,0
3,248.0,4.0,1,1,2.0,2,34,23,42150,0
3,320.0,6.0,1,2,2.0,2,30,20,59300,0
3,320.0,6.0,1,1,2.0,2,29,21,57300,0
3,320.0,6.0,1,1,2.0,2,32,21,48500,0
2,268.0,8.0,1,1,4.0,2,20,15,2168,25
2,282.0,8.0,1,1,4.0,3,16,12,2497,25
2,275.0,8.0,1,1,4.0,2,22,16,2278,24
2,275.0,8.0,1,1,4.0,3,17,13,2650,24
2,201.0,8.0,1,1,4.0,3,17,14,2000,27
2,201.0,8.0,1,1,4.0,3,17,14,2186,26
1,442.0,12.0,1,1,2.0,1,14,9,223970,16
1,442.0,12.0,2,1,2.0,1,15,9,219775,16
1,442.0,12.0,1,1,2.0,1,14,9,228625,15
1,442.0,12.0,2,1,2.0,1,15,9,224585,15
1,442.0,12.0,1,1,2.0,1,14,9,228625,14
1,442.0,12.0,2,1,2.0,1,15,9,224585,14
1,562.0,8.0,3,1,2.0,1,17,13,257412,4
1,562.0,8.0,3,1,2.0,1,17,13,233509,4
1,562.0,8.0,3,1,2.0,1,17,13,233509,3
1,597.0,8.0,3,1,2.0,1,17,13,288000,3
1,562.0,8.0,3,1,2.0,1,17,13,257412,3
1,562.0,8.0,3,1,2.0,1,17,13,239340,2
1,562.0,8.0,3,1,2.0,1,17,13,263553,2
1,597.0,8.0,3,1,2.0,1,17,13,291744,2
1,237.0,4.0,3,1,2.0,1,34,24,63900,2
1,237.0,4.0,3,1,2.0,1,34,24,68400,2
1,237.0,4.0,3,1,2.0,1,34,24,53900,2
1,237.0,4.0,3,1,2.0,1,34,24,55900,1
1,237.0,4.0,3,1,2.0,1,34,24,65900,1
2,270.0,6.0,1,1,4.0,2,23,17,41365,3
2,270.0,6.0,1,1,4.0,2,23,17,35740,3
2,270.0,6.0,1,4,4.0,2,22,17,37615,3
2,270.0,6.0,1,4,4.0,2,22,17,34695,3
2,270.0,6.0,1,4,4.0,2,22,17,35725,3
2,270.0,6.0,1,4,4.0,2,22,17,43400,3
2,270.0,6.0,1,1,4.0,2,23,17,32820,3
2,270.0,6.0,1,4,4.0,2,22,17,38645,3
2,270.0,6.0,1,4,4.0,2,21,17,37825,2
2,270.0,6.0,1,4,4.0,2,21,17,43620,2
2,270.0,6.0,1,4,4.0,2,21,17,36115,2
2,270.0,6.0,1,1,4.0,2,22,17,35950,2
2,270.0,6.0,1,1,4.0,2,22,17,33210,2
2,270.0,6.0,1,4,4.0,2,21,17,38855,2
2,270.0,6.0,1,1,4.0,2,22,17,41585,2
2,270.0,6.0,1,4,4.0,2,21,17,35085,2
2,270.0,6.0,1,4,4.0,2,21,17,41310,2
2,270.0,6.0,1,1,4.0,2,22,17,36690,1
2,270.0,6.0,1,4,4.0,2,21,17,44360,1
2,270.0,6.0,1,4,4.0,2,21,17,39595,1
2,270.0,6.0,1,4,4.0,2,21,17,41850,1
2,270.0,6.0,1,1,4.0,2,22,17,42325,1
2,270.0,6.0,1,4,4.0,2,21,17,35885,1
2,270.0,6.0,1,4,4.0,2,21,17,38565,1
2,270.0,6.0,1,4,4.0,2,21,17,36915,1
2,270.0,6.0,1,1,4.0,2,22,17,34010,1
1,300.0,6.0,1,1,4.0,3,28,19,60700,2
1,445.0,8.0,1,2,4.0,3,24,16,71400,2
1,300.0,6.0,1,2,4.0,3,26,18,63000,2
1,445.0,8.0,1,1,4.0,3,25,16,69100,2
1,300.0,6.0,1,2,4.0,3,26,18,63200,1
1,445.0,8.0,1,2,4.0,3,24,16,72500,1
1,300.0,6.0,1,1,4.0,3,28,19,60900,1
1,300.0,6.0,1,2,4.0,3,26,18,63200,0
