Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,highway MPG,city mpg,Age,MSRP
1.0,240.0,4.0,1,1,2.0,1,34,23,1,38650
1.0,320.0,6.0,1,1,2.0,1,31,20,1,48750
1.0,240.0,4.0,1,2,2.0,1,35,23,1,34850
1.0,240.0,4.0,1,2,2.0,1,34,22,1,40650
1.0,320.0,6.0,1,1,2.0,1,31,20,1,44150
1.0,240.0,4.0,2,1,2.0,1,34,22,1,32850
1.0,320.0,6.0,1,2,2.0,1,30,20,1,46150
1.0,320.0,6.0,1,1,2.0,1,30,20,1,50750
3.0,335.0,6.0,1,2,2.0,1,31,21,0,46450
3.0,335.0,6.0,1,1,2.0,1,32,21,0,49050
3.0,335.0,6.0,1,2,2.0,1,32,21,0,51050
3.0,335.0,6.0,1,1,2.0,1,32,21,0,44450
3.0,248.0,4.0,1,1,2.0,1,34,23,0,38950
3.0,248.0,4.0,1,1,2.0,1,35,24,0,33150
3.0,248.0,4.0,1,2,2.0,1,33,24,0,35150
3.0,248.0,4.0,1,2,2.0,1,33,23,0,40950
2.0,162.0,5.0,1,3,4.0,2,20,16,27,2000
2.0,162.0,5.0,2,2,4.0,2,22,15,27,2000
2.0,162.0,5.0,2,2,4.0,2,23,15,27,2000
2.0,217.0,5.0,2,2,4.0,2,22,16,26,2000
2.0,217.0,5.0,2,2,4.0,2,22,16,26,2000
2.0,162.0,5.0,1,3,4.0,2,20,16,26,2000
4.0,184.0,4.0,1,3,4.0,2,36,23,2,25170
4.0,184.0,4.0,1,3,4.0,2,36,23,2,23950
4.0,295.0,6.0,1,2,4.0,2,29,18,2,29370
4.0,184.0,4.0,1,3,4.0,2,36,23,2,21995
4.0,184.0,4.0,1,3,4.0,2,36,23,2,26625
4.0,295.0,6.0,1,2,4.0,2,29,18,2,30825
4.0,184.0,4.0,1,3,4.0,2,36,23,1,21995
4.0,184.0,4.0,1,3,4.0,2,36,23,1,27795
4.0,295.0,6.0,1,2,4.0,2,29,18,1,31785
4.0,295.0,6.0,1,2,4.0,2,29,18,1,29905
4.0,184.0,4.0,1,3,4.0,2,36,23,1,22490
4.0,184.0,4.0,1,3,4.0,2,36,23,1,27570
4.0,184.0,4.0,1,3,4.0,2,36,23,1,25690
4.0,184.0,4.0,1,3,4.0,2,36,23,1,24490
4.0,295.0,6.0,1,2,4.0,2,28,18,0,29905
4.0,295.0,6.0,1,2,4.0,2,28,18,0,31785
4.0,184.0,4.0,1,3,4.0,2,36,23,0,26685
4.0,184.0,4.0,1,3,4.0,2,36,23,0,22490
4.0,184.0,4.0,1,3,4.0,2,36,23,0,25690
4.0,295.0,6.0,1,2,4.0,2,28,18,0,30900
4.0,184.0,4.0,1,3,4.0,2,36,23,0,27795
4.0,184.0,4.0,1,3,4.0,2,36,23,0,21995
4.0,184.0,4.0,1,3,4.0,2,36,23,0,24490
2.0,140.0,4.0,2,3,2.0,1,29,21,21,2000
2.0,140.0,4.0,2,3,2.0,1,29,21,20,2000
2.0,140.0,4.0,2,3,2.0,1,28,20,19,2073
2.0,155.0,4.0,2,1,2.0,1,26,19,21,3713
2.0,155.0,4.0,2,1,2.0,1,26,19,21,3520
2.0,155.0,4.0,2,1,2.0,1,26,19,20,3910
2.0,155.0,4.0,2,1,2.0,1,26,19,20,4182
2.0,155.0,4.0,2,1,2.0,1,26,19,20,4107
2.0,155.0,4.0,2,1,2.0,1,25,20,19,4299
2.0,155.0,4.0,2,1,2.0,1,25,20,19,4693
2.0,155.0,4.0,2,1,2.0,1,25,20,19,4107
2.0,114.0,4.0,2,1,4.0,2,26,19,26,2000
2.0,114.0,4.0,1,1,4.0,2,23,18,26,2000
2.0,114.0,4.0,2,1,4.0,2,26,19,26,2000
2.0,114.0,4.0,2,1,4.0,2,26,19,25,2000
2.0,114.0,4.0,2,1,4.0,2,26,19,24,2000
2.0,114.0,4.0,2,1,4.0,2,25,18,24,2000
2.0,100.0,4.0,2,3,4.0,1,35,29,5,16020
2.0,100.0,4.0,2,3,4.0,1,35,29,5,14530
2.0,100.0,4.0,1,3,4.0,1,34,28,5,16860
2.0,100.0,4.0,1,3,4.0,1,34,28,5,15370
2.0,100.0,4.0,1,3,4.0,1,34,28,4,17050
2.0,100.0,4.0,1,3,4.0,1,34,28,4,15560
2.0,100.0,4.0,2,3,4.0,1,35,29,4,16210
2.0,100.0,4.0,2,3,4.0,1,35,29,4,14720
2.0,100.0,4.0,1,3,4.0,1,34,28,3,17050
2.0,100.0,4.0,1,3,4.0,1,34,28,3,15560
2.0,100.0,4.0,2,3,4.0,1,35,29,3,16210
2.0,100.0,4.0,2,3,4.0,1,35,29,3,14720
1.0,300.0,6.0,1,2,4.0,2,30,20,2,47250
1.0,240.0,4.0,1,2,4.0,2,34,22,1,43000
1.0,300.0,6.0,1,2,4.0,2,30,20,1,49200
1.0,320.0,6.0,1,2,4.0,2,30,20,0,49650
1.0,248.0,4.0,1,2,4.0,2,33,23,0,43950
1.0,241.0,4.0,1,2,4.0,2,33,22,2,41950
1.0,335.0,6.0,1,1,4.0,2,33,25,2,50150
1.0,300.0,6.0,1,1,4.0,2,32,21,2,43750
5.0,180.0,4.0,1,1,4.0,2,45,32,2,39000
1.0,180.0,4.0,1,2,4.0,2,35,23,2,34950
1.0,300.0,6.0,1,2,4.0,2,30,20,2,45750
5.0,180.0,4.0,1,2,4.0,2,43,31,2,43450
5.0,180.0,4.0,1,2,4.0,2,43,31,2,41000
1.0,180.0,4.0,1,1,4.0,2,36,24,2,32950
5.0,180.0,4.0,1,2,4.0,2,40,30,1,41850
1.0,320.0,6.0,1,2,4.0,2,33,22,1,47800
5.0,180.0,4.0,1,1,4.0,2,42,32,1,39850
1.0,240.0,4.0,1,1,4.0,2,34,22,1,38350
1.0,240.0,4.0,1,2,4.0,2,34,22,1,40350
1.0,240.0,4.0,2,1,4.0,2,34,22,1,38350
1.0,240.0,4.0,1,2,4.0,2,34,22,1,42650
1.0,180.0,4.0,1,1,4.0,2,36,24,1,33150
1.0,180.0,4.0,1,2,4.0,2,35,23,1,35150
5.0,180.0,4.0,1,2,4.0,2,40,30,1,44150
1.0,320.0,6.0,1,1,4.0,2,33,22,1,45800
3.0,248.0,4.0,1,1,4.0,2,34,23,0,38750
3.0,180.0,4.0,1,2,4.0,2,34,23,0,35450
3.0,180.0,4.0,1,1,4.0,2,35,23,0,33450
3.0,248.0,4.0,1,2,4.0,2,33,23,0,40750
5.0,180.0,4.0,1,2,4.0,2,40,30,0,42250
3.0,248.0,4.0,1,2,4.0,2,33,23,0,42950
5.0,180.0,4.0,1,1,4.0,2,42,32,0,40250
3.0,320.0,6.0,1,2,4.0,2,31,21,0,49900
3.0,320.0,6.0,1,1,4.0,2,32,21,0,47900
5.0,180.0,4.0,1,2,4.0,2,40,30,0,44450
2.0,177.0,6.0,1,1,4.0,3,19,15,26,2232
2.0,177.0,6.0,1,1,4.0,2,20,15,26,2000
2.0,158.0,6.0,1,1,4.0,2,22,17,26,2000
2.0,177.0,6.0,1,2,4.0,2,20,15,26,2105
2.0,177.0,6.0,1,2,4.0,2,18,15,26,2199
2.0,177.0,6.0,1,1,4.0,2,22,16,26,2000
2.0,177.0,6.0,1,1,4.0,3,19,15,26,2124
2.0,228.0,6.0,2,1,2.0,1,21,14,26,3552
2.0,217.0,6.0,1,1,2.0,2,22,15,26,2179
5.0,121.0,5.0,1,1,4.0,2,30,23,26,2000
5.0,121.0,5.0,1,1,4.0,2,29,23,25,2000
2.0,228.0,6.0,1,1,4.0,3,17,14,25,2377
2.0,228.0,6.0,2,1,2.0,1,21,15,25,3814
2.0,177.0,6.0,1,2,4.0,2,19,15,25,2207
2.0,177.0,6.0,1,1,4.0,2,20,15,25,2000
2.0,217.0,6.0,1,1,2.0,2,21,15,25,2248
2.0,177.0,6.0,1,1,4.0,2,22,16,25,2065
5.0,148.0,6.0,1,1,4.0,3,22,18,25,2547
2.0,177.0,6.0,1,2,4.0,2,18,15,25,2282
2.0,158.0,6.0,1,1,4.0,2,23,18,25,2000
2.0,177.0,6.0,1,2,4.0,2,19,15,24,2544
2.0,217.0,6.0,1,1,2.0,2,22,17,24,2397
5.0,121.0,5.0,1,1,4.0,2,30,23,24,2000
2.0,228.0,6.0,2,1,2.0,1,21,14,24,4174
2.0,217.0,6.0,1,1,4.0,2,22,17,24,2187
5.0,148.0,6.0,1,1,4.0,3,22,18,24,2729
2.0,177.0,6.0,1,2,4.0,2,19,15,24,2433
2.0,194.0,6.0,1,1,4.0,2,23,17,24,2247
2.0,228.0,6.0,1,1,4.0,3,18,14,24,2540
2.0,218.0,6.0,2,3,2.0,1,23,17,20,3941
2.0,161.0,6.0,2,3,2.0,1,22,17,20,3295
2.0,320.0,6.0,2,2,2.0,1,22,16,20,6008
2.0,320.0,6.0,2,2,2.0,1,22,16,19,6710
2.0,161.0,6.0,2,3,2.0,1,22,17,19,3701
2.0,218.0,6.0,2,3,2.0,1,23,17,19,4671
2.0,218.0,6.0,2,3,2.0,1,23,17,18,5306
2.0,320.0,6.0,2,2,2.0,1,22,16,18,7600
2.0,161.0,6.0,2,3,2.0,1,22,17,18,4090
2.0,300.0,6.0,1,2,4.0,3,27,18,2,37570
2.0,292.0,6.0,1,1,4.0,3,31,19,2,31695
2.0,292.0,6.0,1,1,4.0,3,31,19,2,38070
2.0,292.0,6.0,1,2,4.0,3,27,18,2,44895
2.0,300.0,6.0,1,1,4.0,3,31,19,2,35070
2.0,292.0,6.0,1,1,4.0,3,31,19,2,42395
2.0,292.0,6.0,1,2,4.0,3,27,18,2,34195
2.0,292.0,6.0,1,2,4.0,3,27,18,2,40570
2.0,300.0,6.0,1,2,4.0,3,27,18,1,38095
2.0,300.0,6.0,1,1,4.0,3,31,19,1,35595
2.0,292.0,6.0,1,2,4.0,3,27,18,1,45190
2.0,292.0,6.0,1,1,4.0,3,31,19,1,32260
2.0,292.0,6.0,1,2,4.0,3,27,18,1,37755
2.0,292.0,6.0,1,2,4.0,3,27,18,1,41055
2.0,300.0,6.0,1,1,4.0,3,31,19,1,36090
2.0,292.0,6.0,1,1,4.0,3,31,19,1,42690
2.0,292.0,6.0,1,1,4.0,3,31,19,1,38555
2.0,292.0,6.0,1,1,4.0,3,31,19,1,35255
2.0,300.0,6.0,1,2,4.0,3,27,18,1,38590
2.0,292.0,6.0,1,2,4.0,3,27,18,1,34760
2.0,292.0,6.0,1,2,4.0,3,27,18,0,41135
2.0,292.0,6.0,1,2,4.0,3,27,18,0,45270
2.0,300.0,6.0,1,2,4.0,3,27,18,0,38670
2.0,292.0,6.0,1,1,4.0,3,30,19,0,38635
2.0,300.0,6.0,1,1,4.0,3,30,19,0,36170
2.0,300.0,6.0,1,2,4.0,3,27,18,0,38175
2.0,292.0,6.0,1,1,4.0,3,30,19,0,32340
2.0,292.0,6.0,1,1,4.0,3,30,19,0,42770
2.0,292.0,6.0,1,2,4.0,3,27,18,0,34840
2.0,300.0,6.0,1,1,4.0,3,30,19,0,35675
1.0,250.0,6.0,1,3,4.0,3,24,16,15,32065
1.0,250.0,6.0,1,3,4.0,3,24,16,15,28540
1.0,255.0,6.0,1,3,4.0,3,25,16,14,32315
2.0,250.0,6.0,1,3,4.0,3,25,16,14,28885
2.0,250.0,6.0,1,3,4.0,3,25,16,13,29185
1.0,255.0,6.0,1,3,4.0,3,25,16,13,32615
2.0,222.0,6.0,2,1,2.0,1,22,16,23,2847
2.0,222.0,6.0,2,1,2.0,1,22,16,23,2488
2.0,300.0,6.0,2,1,2.0,1,22,16,23,2683
2.0,222.0,6.0,2,1,2.0,1,22,16,23,2553
2.0,300.0,6.0,2,1,2.0,1,22,16,22,3049
2.0,222.0,6.0,2,1,2.0,1,22,17,22,2774
2.0,222.0,6.0,2,1,2.0,1,22,17,22,2702
2.0,222.0,6.0,2,1,2.0,1,22,17,22,3101
2.0,300.0,6.0,2,1,2.0,1,22,16,21,3510
2.0,222.0,6.0,2,1,2.0,1,22,17,21,3107
2.0,222.0,6.0,2,1,2.0,1,22,17,21,3624
2.0,222.0,6.0,2,1,2.0,1,22,17,21,3185
2.0,82.0,4.0,2,3,2.0,1,33,25,24,2000
2.0,82.0,4.0,2,3,2.0,1,32,24,24,2000
2.0,82.0,4.0,2,3,2.0,1,33,25,23,2000
5.0,134.0,6.0,1,1,4.0,3,23,19,27,2144
5.0,134.0,6.0,1,1,4.0,3,23,19,27,2098
5.0,134.0,6.0,1,1,4.0,3,23,19,26,2178
5.0,134.0,6.0,1,1,4.0,3,23,19,26,2311
2.0,306.0,6.0,1,1,2.0,1,23,17,10,36550
2.0,306.0,6.0,1,1,2.0,1,23,17,10,41250
2.0,306.0,6.0,1,1,2.0,1,24,17,10,30600
2.0,306.0,6.0,1,1,2.0,1,24,17,10,37100
2.0,306.0,6.0,2,1,2.0,1,25,18,10,27900
2.0,306.0,6.0,2,1,2.0,1,25,18,10,32700
2.0,306.0,6.0,2,1,2.0,1,24,17,10,40250
2.0,306.0,6.0,2,1,2.0,1,24,17,10,35550
2.0,306.0,6.0,2,1,2.0,1,25,18,10,36100
2.0,306.0,6.0,1,1,2.0,1,24,17,10,33200
2.0,306.0,6.0,2,1,2.0,1,24,17,10,37900
2.0,306.0,6.0,2,1,2.0,1,25,18,10,29600
2.0,306.0,6.0,2,1,2.0,1,25,18,10,38070
2.0,306.0,6.0,1,1,2.0,1,23,17,10,38900
2.0,306.0,6.0,1,1,2.0,1,24,17,9,33840
2.0,306.0,6.0,2,1,2.0,1,24,17,9,38630
2.0,306.0,6.0,1,1,2.0,1,23,17,9,39630
2.0,306.0,6.0,1,1,2.0,1,24,17,9,37740
2.0,306.0,6.0,1,1,2.0,1,23,17,9,41980
2.0,306.0,6.0,2,1,2.0,1,24,17,9,36280
2.0,306.0,6.0,2,1,2.0,1,25,18,9,36740
2.0,306.0,6.0,2,1,2.0,1,24,17,9,40980
2.0,306.0,6.0,2,1,2.0,1,25,18,9,38680
2.0,306.0,6.0,2,1,2.0,1,25,18,9,28510
2.0,306.0,6.0,2,1,2.0,1,25,18,9,30210
2.0,306.0,6.0,1,1,2.0,1,24,17,9,31210
2.0,306.0,6.0,2,1,2.0,1,25,18,9,33340
2.0,306.0,6.0,1,1,2.0,1,23,17,9,37280
2.0,306.0,6.0,2,1,2.0,1,24,17,8,41570
2.0,306.0,6.0,2,1,2.0,1,24,17,8,36870
2.0,306.0,6.0,1,1,2.0,1,23,17,8,42570
2.0,306.0,6.0,1,1,2.0,1,23,17,8,37870
2.0,306.0,6.0,2,1,2.0,1,24,17,8,39220
2.0,306.0,6.0,1,1,2.0,1,23,17,8,40220
1.0,350.0,6.0,1,1,2.0,1,26,19,2,46790
1.0,332.0,6.0,2,1,2.0,1,24,17,2,48100
1.0,332.0,6.0,2,1,2.0,1,26,18,2,29990
1.0,332.0,6.0,1,1,2.0,1,25,18,2,41820
1.0,332.0,6.0,1,1,2.0,1,26,19,2,31290
1.0,332.0,6.0,1,1,2.0,1,26,19,2,34870
1.0,332.0,6.0,2,1,2.0,1,26,18,2,33570
1.0,332.0,6.0,1,1,2.0,1,25,18,2,46570
1.0,332.0,6.0,2,1,2.0,1,26,18,2,37970
1.0,332.0,6.0,2,1,2.0,1,26,18,2,37070
1.0,332.0,6.0,1,1,2.0,1,25,18,2,49400
1.0,332.0,6.0,2,1,2.0,1,24,17,2,45270
1.0,332.0,6.0,1,1,2.0,1,26,19,2,39270
1.0,350.0,6.0,2,1,2.0,1,26,18,2,45490
1.0,350.0,6.0,2,1,2.0,1,26,18,2,41990
1.0,332.0,6.0,1,1,2.0,1,26,19,2,38370
1.0,350.0,6.0,1,1,2.0,1,26,19,2,43290
1.0,332.0,6.0,1,1,2.0,1,25,18,1,41820
1.0,332.0,6.0,2,1,2.0,1,24,17,1,48100
1.0,350.0,6.0,1,1,2.0,1,26,19,1,43290
1.0,332.0,6.0,1,1,2.0,1,26,19,1,39270
1.0,332.0,6.0,1,1,2.0,1,26,19,1,34870
1.0,350.0,6.0,2,1,2.0,1,26,18,1,41990
1.0,332.0,6.0,1,1,2.0,1,26,19,1,38370
1.0,332.0,6.0,2,1,2.0,1,24,17,1,45270
1.0,350.0,6.0,2,1,2.0,1,26,18,1,45490
1.0,332.0,6.0,2,1,2.0,1,26,18,1,29990
1.0,332.0,6.0,1,1,2.0,1,25,18,1,46570
1.0,350.0,6.0,1,1,2.0,1,26,19,1,46790
1.0,332.0,6.0,1,1,2.0,1,25,18,1,49400
1.0,332.0,6.0,2,1,2.0,1,26,18,1,37070
1.0,332.0,6.0,1,1,2.0,1,26,19,1,31290
1.0,332.0,6.0,2,1,2.0,1,26,18,1,37970
1.0,332.0,6.0,2,1,2.0,1,26,18,1,33570
1.0,332.0,6.0,2,1,2.0,1,26,18,0,37970
1.0,332.0,6.0,1,1,2.0,1,26,19,0,38370
1.0,332.0,6.0,1,1,2.0,1,26,19,0,34870
1.0,332.0,6.0,2,1,2.0,1,26,18,0,29990
1.0,350.0,6.0,2,1,2.0,1,26,18,0,45490
1.0,350.0,6.0,2,1,2.0,1,26,18,0,41990
1.0,332.0,6.0,2,1,2.0,1,24,17,0,45270
1.0,332.0,6.0,2,1,2.0,1,26,18,0,33570
1.0,332.0,6.0,2,1,2.0,1,24,17,0,48100
1.0,332.0,6.0,1,1,2.0,1,26,19,0,39270
1.0,332.0,6.0,1,1,2.0,1,25,18,0,46570
1.0,332.0,6.0,1,1,2.0,1,25,18,0,49400
1.0,332.0,6.0,2,1,2.0,1,26,18,0,37070
1.0,332.0,6.0,1,1,2.0,1,25,18,0,41820
1.0,350.0,6.0,1,1,2.0,1,26,19,0,46790
1.0,350.0,6.0,1,1,2.0,1,26,19,0,43290
1.0,332.0,6.0,1,1,2.0,1,26,19,0,31290
2.0,184.0,4.0,2,3,4.0,1,37,25,2,25045
2.0,184.0,4.0,1,3,4.0,1,39,28,2,26095
2.0,155.0,4.0,1,3,4.0,1,41,30,2,23795
2.0,155.0,4.0,2,3,4.0,1,41,29,2,19595
2.0,155.0,4.0,2,3,4.0,1,41,29,2,18445
2.0,184.0,4.0,2,3,4.0,1,37,25,2,23845
2.0,184.0,4.0,1,3,4.0,1,37,27,2,25395
2.0,184.0,4.0,1,3,4.0,1,39,28,2,24895
2.0,184.0,4.0,2,3,4.0,1,35,26,2,25545
2.0,155.0,4.0,1,3,4.0,1,40,30,2,24295
2.0,155.0,4.0,1,3,4.0,1,41,30,2,19495
2.0,155.0,4.0,2,3,4.0,1,40,29,2,20095
2.0,155.0,4.0,1,3,4.0,1,40,30,2,19995
2.0,155.0,4.0,1,3,4.0,1,40,30,2,21145
2.0,155.0,4.0,2,3,4.0,1,40,29,2,23245
2.0,155.0,4.0,2,3,4.0,1,41,29,2,16945
2.0,184.0,4.0,2,3,4.0,1,35,26,2,24345
2.0,155.0,4.0,1,3,4.0,1,41,30,2,20645
2.0,155.0,4.0,2,3,4.0,1,40,29,2,18945
2.0,184.0,4.0,1,3,4.0,1,37,27,2,26595
2.0,155.0,4.0,2,3,4.0,1,41,29,2,22745
2.0,155.0,4.0,1,3,4.0,1,41,30,2,17995
2.0,155.0,4.0,2,3,4.0,1,41,29,1,22545
2.0,155.0,4.0,1,3,4.0,1,41,30,1,21095
2.0,184.0,4.0,1,3,4.0,1,37,27,1,25495
2.0,155.0,4.0,2,3,4.0,1,40,29,1,20745
2.0,155.0,4.0,1,3,4.0,1,40,30,1,24295
2.0,155.0,4.0,1,3,4.0,1,41,30,1,23595
2.0,155.0,4.0,1,3,4.0,1,40,30,1,21795
2.0,155.0,4.0,2,3,4.0,1,41,29,1,17845
2.0,184.0,4.0,1,3,4.0,1,37,27,1,26495
2.0,184.0,4.0,2,3,4.0,1,37,25,1,24745
2.0,155.0,4.0,1,3,4.0,1,41,30,1,18895
2.0,155.0,4.0,1,3,4.0,1,40,30,1,19595
2.0,155.0,4.0,2,3,4.0,1,40,29,1,23245
2.0,155.0,4.0,2,3,4.0,1,40,29,1,18545
2.0,184.0,4.0,1,3,4.0,1,39,28,1,25795
2.0,155.0,4.0,2,3,4.0,1,41,29,1,20045
2.0,184.0,4.0,2,3,4.0,1,35,26,1,25445
2.0,184.0,4.0,1,3,4.0,1,39,28,1,24795
2.0,155.0,4.0,1,3,4.0,2,37,28,0,21495
2.0,155.0,4.0,2,3,4.0,2,37,27,0,17845
2.0,184.0,4.0,2,3,4.0,2,34,25,0,23145
2.0,184.0,4.0,1,3,4.0,2,36,27,0,24195
2.0,155.0,4.0,1,3,4.0,1,37,28,0,20145
2.0,184.0,4.0,1,3,4.0,1,35,26,0,24945
2.0,184.0,4.0,2,3,4.0,1,33,25,0,23895
2.0,155.0,4.0,2,3,4.0,1,37,27,0,19095
2.0,184.0,4.0,1,3,4.0,1,35,26,0,23445
2.0,155.0,4.0,1,3,4.0,2,37,28,0,18895
2.0,155.0,4.0,1,3,4.0,1,37,28,0,22245
2.0,184.0,4.0,2,3,4.0,1,33,25,0,22395
2.0,155.0,4.0,2,3,4.0,2,37,27,0,20445
1.0,300.0,6.0,1,1,4.0,2,32,21,2,45800
1.0,300.0,6.0,1,2,4.0,2,31,20,2,47800
1.0,240.0,4.0,1,2,4.0,2,34,22,1,43650
1.0,300.0,6.0,1,2,4.0,2,30,20,1,49950
1.0,300.0,6.0,1,1,4.0,2,31,20,1,47950
1.0,240.0,4.0,1,1,4.0,2,34,23,1,41650
3.0,320.0,6.0,1,1,4.0,2,32,21,0,48300
3.0,320.0,6.0,1,2,4.0,2,31,21,0,50300
3.0,248.0,4.0,1,2,4.0,2,33,23,0,43950
3.0,248.0,4.0,1,1,4.0,2,34,23,0,41950
1.0,300.0,6.0,1,2,2.0,2,29,20,2,56900
1.0,300.0,6.0,1,1,2.0,2,32,21,2,46250
1.0,300.0,6.0,1,2,2.0,2,30,20,2,48250
1.0,300.0,6.0,1,1,2.0,2,31,20,2,54900
1.0,240.0,4.0,1,2,2.0,2,33,21,1,52000
1.0,240.0,4.0,1,1,2.0,2,34,23,1,50000
1.0,240.0,4.0,2,1,2.0,2,34,22,1,41850
1.0,300.0,6.0,1,2,2.0,2,30,20,1,50150
1.0,240.0,4.0,1,1,2.0,2,35,23,1,41850
1.0,300.0,6.0,1,2,2.0,2,29,20,1,58950
1.0,240.0,4.0,1,2,2.0,2,34,22,1,43850
1.0,300.0,6.0,1,1,2.0,2,31,20,1,48150
1.0,300.0,6.0,1,1,2.0,2,31,20,1,56950
3.0,248.0,4.0,1,1,2.0,2,34,23,0,50300
3.0,248.0,4.0,1,2,2.0,2,32,22,0,52300
3.0,320.0,6.0,1,2,2.0,2,31,21,0,50500
3.0,248.0,4.0,1,2,2.0,2,33,23,0,44150
3.0,248.0,4.0,1,1,2.0,2,34,23,0,42150
3.0,320.0,6.0,1,2,2.0,2,30,20,0,59300
3.0,320.0,6.0,1,1,2.0,2,29,21,0,57300
3.0,320.0,6.0,1,1,2.0,2,32,21,0,48500
2.0,268.0,8.0,1,1,4.0,2,20,15,25,2168
2.0,282.0,8.0,1,1,4.0,3,16,12,25,2497
2.0,275.0,8.0,1,1,4.0,2,22,16,24,2278
2.0,275.0,8.0,1,1,4.0,3,17,13,24,2650
2.0,201.0,8.0,1,1,4.0,3,17,14,27,2000
2.0,201.0,8.0,1,1,4.0,3,17,14,26,2186
1.0,237.0,4.0,3,1,2.0,1,34,24,2,63900
1.0,237.0,4.0,3,1,2.0,1,34,24,2,68400
1.0,237.0,4.0,3,1,2.0,1,34,24,2,53900
1.0,237.0,4.0,3,1,2.0,1,34,24,1,55900
1.0,237.0,4.0,3,1,2.0,1,34,24,1,65900
2.0,270.0,6.0,1,1,4.0,2,23,17,3,41365
2.0,270.0,6.0,1,1,4.0,2,23,17,3,35740
2.0,270.0,6.0,1,4,4.0,2,22,17,3,37615
2.0,270.0,6.0,1,4,4.0,2,22,17,3,34695
2.0,270.0,6.0,1,4,4.0,2,22,17,3,35725
2.0,270.0,6.0,1,4,4.0,2,22,17,3,43400
2.0,270.0,6.0,1,1,4.0,2,23,17,3,32820
2.0,270.0,6.0,1,4,4.0,2,22,17,3,38645
2.0,270.0,6.0,1,4,4.0,2,21,17,2,37825
2.0,270.0,6.0,1,4,4.0,2,21,17,2,43620
2.0,270.0,6.0,1,4,4.0,2,21,17,2,36115
2.0,270.0,6.0,1,1,4.0,2,22,17,2,35950
2.0,270.0,6.0,1,1,4.0,2,22,17,2,33210
2.0,270.0,6.0,1,4,4.0,2,21,17,2,38855
2.0,270.0,6.0,1,1,4.0,2,22,17,2,41585
2.0,270.0,6.0,1,4,4.0,2,21,17,2,35085
2.0,270.0,6.0,1,4,4.0,2,21,17,2,41310
2.0,270.0,6.0,1,1,4.0,2,22,17,1,36690
2.0,270.0,6.0,1,4,4.0,2,21,17,1,44360
2.0,270.0,6.0,1,4,4.0,2,21,17,1,39595
2.0,270.0,6.0,1,4,4.0,2,21,17,1,41850
2.0,270.0,6.0,1,1,4.0,2,22,17,1,42325
2.0,270.0,6.0,1,4,4.0,2,21,17,1,35885
2.0,270.0,6.0,1,4,4.0,2,21,17,1,38565
2.0,270.0,6.0,1,4,4.0,2,21,17,1,36915
2.0,270.0,6.0,1,1,4.0,2,22,17,1,34010
1.0,300.0,6.0,1,1,4.0,3,28,19,2,60700
1.0,445.0,8.0,1,2,4.0,3,24,16,2,71400
1.0,300.0,6.0,1,2,4.0,3,26,18,2,63000
1.0,445.0,8.0,1,1,4.0,3,25,16,2,69100
